Body size,Body weight,Cheeks,Face shape/ chin,Eyes,Lips,Teeth,Skin,Hair,Appetite,Thirst,Digestion,Mind,Voice,Emotions,doshas
Large,A.Overweight,wrinkled/sunken,"Thin, angular","Small,sunken, dry, active, black,brown",B.red inflammed yellowish,"Stick out, big, roomy, thin gums","A.Thick, oily, cool, white, pale","B.Straight, oily, blonde, gray, red, bald","C.Irregular, scanty",B.Surplus,"C.Irregular, forms gas",Calm,"Deep, good tone","B.Anger, hate, jealousy",vatta
Slim,C.Low,Smooth flat,"Thin, angular","Small,sunken, dry, active, black,brown","C.Dry, cracked, black/brown tinge","Medium , soft , tender gums","C.Thin, dry, cold, rough","C.Dry, brown, black, knotted, brittle, scarce","C.Irregular, scanty",C.Changeable,"C.Irregular, forms gas",Restless,"Weak, hoarse","C.Anxiety, fear, uncertainity",vatta
Slim,C.Low,Smooth flat,"Rounded, double chin","Small,sunken, dry, active, black,brown",B.red inflammed yellowish,"Stick out, big, roomy, thin gums","C.Thin, dry, cold, rough","C.Dry, brown, black, knotted, brittle, scarce","C.Irregular, scanty",B.Surplus,"B.Quick, causes burning",Impatient,Strong tone,"C.Anxiety, fear, uncertainity",vatta
Slim,A.Overweight,"Rounded, plump","Thin, angular","Small,sunken, dry, active, black,brown",B.red inflammed yellowish,"Medium , soft , tender gums","C.Thin, dry, cold, rough","C.Dry, brown, black, knotted, brittle, scarce","C.Irregular, scanty",A.Sparse,"C.Irregular, forms gas",Calm,Strong tone,"C.Anxiety, fear, uncertainity",vatta
Slim,B.Medium,"Rounded, plump","Thin, angular","Big, blue, calm","A.Smooth, oily, cool, white, pale","Stick out, big, roomy, thin gums","A.Thick, oily, cool, white, pale","B.Straight, oily, blonde, gray, red, bald","B.Strong and unbearablerregular, scanty",B.Surplus,"A.Prolonged, formes mucous",Restless,"Weak, hoarse","A.Calm, greedy, attachment",kapha
Slim,C.Low,wrinkled/sunken,Tapering/triangular,"Sharp, bright, gray, green, sensitive to light","C.Dry, cracked, black/brown tinge","Medium , soft , tender gums","A.Thick, oily, cool, white, pale","A.Thick, curly, oily, wayv, luxurient","B.Strong and unbearablerregular, scanty",B.Surplus,"A.Prolonged, formes mucous",Impatient,"Deep, good tone","A.Calm, greedy, attachment",kapha
Medium,B.Medium,"Rounded, plump",Tapering/triangular,"Sharp, bright, gray, green, sensitive to light","A.Smooth, oily, cool, white, pale","Medium , soft , tender gums","A.Thick, oily, cool, white, pale","B.Straight, oily, blonde, gray, red, bald",A.Slow but steady,A.Sparse,"A.Prolonged, formes mucous",Restless,Strong tone,"B.Anger, hate, jealousy",pitta
Slim,B.Medium,Smooth flat,"Rounded, double chin","Sharp, bright, gray, green, sensitive to light","A.Smooth, oily, cool, white, pale","Medium , soft , tender gums","A.Thick, oily, cool, white, pale","B.Straight, oily, blonde, gray, red, bald","B.Strong and unbearablerregular, scanty",B.Surplus,"A.Prolonged, formes mucous",Impatient,Strong tone,"A.Calm, greedy, attachment",pitta
Medium,A.Overweight,"Rounded, plump",Tapering/triangular,"Small,sunken, dry, active, black,brown",B.red inflammed yellowish,"Healthy, white, strong gums","B.Smooth, oily, warm, rosy","C.Dry, brown, black, knotted, brittle, scarce","C.Irregular, scanty",A.Sparse,"C.Irregular, forms gas",Impatient,"Deep, good tone","C.Anxiety, fear, uncertainity",vatta
Slim,B.Medium,Smooth flat,"Rounded, double chin","Small,sunken, dry, active, black,brown",B.red inflammed yellowish,"Stick out, big, roomy, thin gums","A.Thick, oily, cool, white, pale","B.Straight, oily, blonde, gray, red, bald",A.Slow but steady,B.Surplus,"C.Irregular, forms gas",Calm,"Weak, hoarse","B.Anger, hate, jealousy",pitta
Large,A.Overweight,Smooth flat,"Thin, angular","Small,sunken, dry, active, black,brown","C.Dry, cracked, black/brown tinge","Stick out, big, roomy, thin gums","C.Thin, dry, cold, rough","C.Dry, brown, black, knotted, brittle, scarce",A.Slow but steady,C.Changeable,"C.Irregular, forms gas",Restless,"Weak, hoarse","C.Anxiety, fear, uncertainity",vatta
Medium,A.Overweight,"Rounded, plump","Thin, angular","Small,sunken, dry, active, black,brown","C.Dry, cracked, black/brown tinge","Medium , soft , tender gums","B.Smooth, oily, warm, rosy","B.Straight, oily, blonde, gray, red, bald","B.Strong and unbearablerregular, scanty",C.Changeable,"B.Quick, causes burning",Impatient,"Weak, hoarse","C.Anxiety, fear, uncertainity",vatta
Medium,C.Low,Smooth flat,Tapering/triangular,"Sharp, bright, gray, green, sensitive to light","C.Dry, cracked, black/brown tinge","Stick out, big, roomy, thin gums","B.Smooth, oily, warm, rosy","B.Straight, oily, blonde, gray, red, bald","B.Strong and unbearablerregular, scanty",C.Changeable,"B.Quick, causes burning",Impatient,Strong tone,"A.Calm, greedy, attachment",pitta
Slim,C.Low,Smooth flat,Tapering/triangular,"Sharp, bright, gray, green, sensitive to light",B.red inflammed yellowish,"Medium , soft , tender gums","A.Thick, oily, cool, white, pale","B.Straight, oily, blonde, gray, red, bald","B.Strong and unbearablerregular, scanty",A.Sparse,"C.Irregular, forms gas",Impatient,"Deep, good tone","B.Anger, hate, jealousy",pitta
Large,B.Medium,Smooth flat,"Thin, angular","Small,sunken, dry, active, black,brown",B.red inflammed yellowish,"Medium , soft , tender gums","A.Thick, oily, cool, white, pale","A.Thick, curly, oily, wayv, luxurient","C.Irregular, scanty",B.Surplus,"C.Irregular, forms gas",Impatient,"Deep, good tone","A.Calm, greedy, attachment",pitta
Large,A.Overweight,Smooth flat,"Rounded, double chin","Big, blue, calm",B.red inflammed yellowish,"Medium , soft , tender gums","A.Thick, oily, cool, white, pale","A.Thick, curly, oily, wayv, luxurient",A.Slow but steady,C.Changeable,"B.Quick, causes burning",Impatient,"Weak, hoarse","C.Anxiety, fear, uncertainity",kapha
Large,A.Overweight,Smooth flat,Tapering/triangular,"Sharp, bright, gray, green, sensitive to light","C.Dry, cracked, black/brown tinge","Medium , soft , tender gums","A.Thick, oily, cool, white, pale","C.Dry, brown, black, knotted, brittle, scarce","B.Strong and unbearablerregular, scanty",B.Surplus,"C.Irregular, forms gas",Restless,Strong tone,"C.Anxiety, fear, uncertainity",pitta
Slim,C.Low,Smooth flat,Tapering/triangular,"Sharp, bright, gray, green, sensitive to light",B.red inflammed yellowish,"Healthy, white, strong gums","A.Thick, oily, cool, white, pale","A.Thick, curly, oily, wayv, luxurient",A.Slow but steady,A.Sparse,"B.Quick, causes burning",Calm,"Deep, good tone","B.Anger, hate, jealousy",kapha
Large,B.Medium,Smooth flat,"Rounded, double chin","Big, blue, calm","C.Dry, cracked, black/brown tinge","Stick out, big, roomy, thin gums","C.Thin, dry, cold, rough","A.Thick, curly, oily, wayv, luxurient","B.Strong and unbearablerregular, scanty",A.Sparse,"C.Irregular, forms gas",Calm,Strong tone,"B.Anger, hate, jealousy",kapha
Slim,B.Medium,Smooth flat,"Rounded, double chin","Sharp, bright, gray, green, sensitive to light","C.Dry, cracked, black/brown tinge","Medium , soft , tender gums","B.Smooth, oily, warm, rosy","B.Straight, oily, blonde, gray, red, bald","B.Strong and unbearablerregular, scanty",C.Changeable,"C.Irregular, forms gas",Restless,"Weak, hoarse","C.Anxiety, fear, uncertainity",vatta
Slim,B.Medium,wrinkled/sunken,Tapering/triangular,"Big, blue, calm",B.red inflammed yellowish,"Medium , soft , tender gums","B.Smooth, oily, warm, rosy","C.Dry, brown, black, knotted, brittle, scarce","C.Irregular, scanty",A.Sparse,"B.Quick, causes burning",Calm,"Weak, hoarse","B.Anger, hate, jealousy",pitta
Medium,C.Low,Smooth flat,Tapering/triangular,"Small,sunken, dry, active, black,brown",B.red inflammed yellowish,"Stick out, big, roomy, thin gums","A.Thick, oily, cool, white, pale","C.Dry, brown, black, knotted, brittle, scarce",A.Slow but steady,C.Changeable,"A.Prolonged, formes mucous",Calm,"Weak, hoarse","B.Anger, hate, jealousy",vatta
Slim,C.Low,Smooth flat,Tapering/triangular,"Small,sunken, dry, active, black,brown",B.red inflammed yellowish,"Stick out, big, roomy, thin gums","B.Smooth, oily, warm, rosy","A.Thick, curly, oily, wayv, luxurient","B.Strong and unbearablerregular, scanty",B.Surplus,"B.Quick, causes burning",Impatient,"Deep, good tone","A.Calm, greedy, attachment",pitta
Medium,B.Medium,"Rounded, plump",Tapering/triangular,"Sharp, bright, gray, green, sensitive to light",B.red inflammed yellowish,"Medium , soft , tender gums","C.Thin, dry, cold, rough","A.Thick, curly, oily, wayv, luxurient","C.Irregular, scanty",C.Changeable,"B.Quick, causes burning",Impatient,"Deep, good tone","A.Calm, greedy, attachment",pitta
Large,A.Overweight,wrinkled/sunken,"Rounded, double chin","Sharp, bright, gray, green, sensitive to light",B.red inflammed yellowish,"Stick out, big, roomy, thin gums","A.Thick, oily, cool, white, pale","B.Straight, oily, blonde, gray, red, bald","C.Irregular, scanty",C.Changeable,"A.Prolonged, formes mucous",Calm,"Deep, good tone","C.Anxiety, fear, uncertainity",kapha
Slim,C.Low,"Rounded, plump","Rounded, double chin","Small,sunken, dry, active, black,brown","C.Dry, cracked, black/brown tinge","Stick out, big, roomy, thin gums","C.Thin, dry, cold, rough","B.Straight, oily, blonde, gray, red, bald","B.Strong and unbearablerregular, scanty",C.Changeable,"A.Prolonged, formes mucous",Impatient,Strong tone,"C.Anxiety, fear, uncertainity",vatta
Large,A.Overweight,wrinkled/sunken,"Rounded, double chin","Small,sunken, dry, active, black,brown","C.Dry, cracked, black/brown tinge","Stick out, big, roomy, thin gums","C.Thin, dry, cold, rough","C.Dry, brown, black, knotted, brittle, scarce","C.Irregular, scanty",C.Changeable,"C.Irregular, forms gas",Impatient,"Deep, good tone","B.Anger, hate, jealousy",vatta
Slim,C.Low,"Rounded, plump",Tapering/triangular,"Big, blue, calm",B.red inflammed yellowish,"Stick out, big, roomy, thin gums","C.Thin, dry, cold, rough","C.Dry, brown, black, knotted, brittle, scarce","C.Irregular, scanty",C.Changeable,"B.Quick, causes burning",Impatient,"Deep, good tone","C.Anxiety, fear, uncertainity",vatta
Medium,B.Medium,Smooth flat,Tapering/triangular,"Big, blue, calm","A.Smooth, oily, cool, white, pale","Medium , soft , tender gums","B.Smooth, oily, warm, rosy","C.Dry, brown, black, knotted, brittle, scarce","B.Strong and unbearablerregular, scanty",B.Surplus,"C.Irregular, forms gas",Impatient,"Deep, good tone","C.Anxiety, fear, uncertainity",pitta
Medium,A.Overweight,"Rounded, plump",Tapering/triangular,"Small,sunken, dry, active, black,brown","A.Smooth, oily, cool, white, pale","Medium , soft , tender gums","B.Smooth, oily, warm, rosy","C.Dry, brown, black, knotted, brittle, scarce","B.Strong and unbearablerregular, scanty",C.Changeable,"A.Prolonged, formes mucous",Impatient,Strong tone,"A.Calm, greedy, attachment",pitta
Large,A.Overweight,wrinkled/sunken,Tapering/triangular,"Sharp, bright, gray, green, sensitive to light",B.red inflammed yellowish,"Stick out, big, roomy, thin gums","C.Thin, dry, cold, rough","B.Straight, oily, blonde, gray, red, bald",A.Slow but steady,C.Changeable,"A.Prolonged, formes mucous",Restless,Strong tone,"C.Anxiety, fear, uncertainity",vatta
Large,A.Overweight,"Rounded, plump","Thin, angular","Small,sunken, dry, active, black,brown",B.red inflammed yellowish,"Stick out, big, roomy, thin gums","A.Thick, oily, cool, white, pale","B.Straight, oily, blonde, gray, red, bald","C.Irregular, scanty",A.Sparse,"B.Quick, causes burning",Impatient,Strong tone,"A.Calm, greedy, attachment",kapha
Slim,C.Low,wrinkled/sunken,"Rounded, double chin","Sharp, bright, gray, green, sensitive to light",B.red inflammed yellowish,"Medium , soft , tender gums","B.Smooth, oily, warm, rosy","C.Dry, brown, black, knotted, brittle, scarce","C.Irregular, scanty",A.Sparse,"A.Prolonged, formes mucous",Restless,"Deep, good tone","A.Calm, greedy, attachment",vatta
Medium,B.Medium,"Rounded, plump","Rounded, double chin","Sharp, bright, gray, green, sensitive to light","A.Smooth, oily, cool, white, pale","Medium , soft , tender gums","C.Thin, dry, cold, rough","B.Straight, oily, blonde, gray, red, bald","B.Strong and unbearablerregular, scanty",B.Surplus,"C.Irregular, forms gas",Calm,"Deep, good tone","C.Anxiety, fear, uncertainity",pitta
Medium,B.Medium,Smooth flat,"Thin, angular","Sharp, bright, gray, green, sensitive to light","A.Smooth, oily, cool, white, pale","Healthy, white, strong gums","A.Thick, oily, cool, white, pale","C.Dry, brown, black, knotted, brittle, scarce",A.Slow but steady,C.Changeable,"B.Quick, causes burning",Calm,"Deep, good tone","A.Calm, greedy, attachment",kapha
Slim,B.Medium,"Rounded, plump","Thin, angular","Big, blue, calm","A.Smooth, oily, cool, white, pale","Healthy, white, strong gums","C.Thin, dry, cold, rough","B.Straight, oily, blonde, gray, red, bald","B.Strong and unbearablerregular, scanty",A.Sparse,"C.Irregular, forms gas",Restless,"Deep, good tone","A.Calm, greedy, attachment",kapha
Medium,A.Overweight,"Rounded, plump","Rounded, double chin","Small,sunken, dry, active, black,brown","A.Smooth, oily, cool, white, pale","Medium , soft , tender gums","A.Thick, oily, cool, white, pale","A.Thick, curly, oily, wayv, luxurient","C.Irregular, scanty",C.Changeable,"B.Quick, causes burning",Calm,"Deep, good tone","C.Anxiety, fear, uncertainity",kapha
Medium,B.Medium,"Rounded, plump",Tapering/triangular,"Sharp, bright, gray, green, sensitive to light","C.Dry, cracked, black/brown tinge","Healthy, white, strong gums","B.Smooth, oily, warm, rosy","A.Thick, curly, oily, wayv, luxurient",A.Slow but steady,C.Changeable,"B.Quick, causes burning",Impatient,"Deep, good tone","A.Calm, greedy, attachment",pitta
Slim,B.Medium,Smooth flat,Tapering/triangular,"Sharp, bright, gray, green, sensitive to light",B.red inflammed yellowish,"Stick out, big, roomy, thin gums","C.Thin, dry, cold, rough","B.Straight, oily, blonde, gray, red, bald","B.Strong and unbearablerregular, scanty",B.Surplus,"C.Irregular, forms gas",Calm,Strong tone,"A.Calm, greedy, attachment",pitta
Medium,A.Overweight,"Rounded, plump","Rounded, double chin","Small,sunken, dry, active, black,brown","A.Smooth, oily, cool, white, pale","Healthy, white, strong gums","B.Smooth, oily, warm, rosy","C.Dry, brown, black, knotted, brittle, scarce",A.Slow but steady,C.Changeable,"B.Quick, causes burning",Impatient,"Deep, good tone","B.Anger, hate, jealousy",kapha
Slim,B.Medium,"Rounded, plump","Rounded, double chin","Sharp, bright, gray, green, sensitive to light","A.Smooth, oily, cool, white, pale","Healthy, white, strong gums","B.Smooth, oily, warm, rosy","B.Straight, oily, blonde, gray, red, bald","B.Strong and unbearablerregular, scanty",A.Sparse,"C.Irregular, forms gas",Impatient,Strong tone,"B.Anger, hate, jealousy",pitta
Slim,C.Low,wrinkled/sunken,"Rounded, double chin","Big, blue, calm","C.Dry, cracked, black/brown tinge","Medium , soft , tender gums","B.Smooth, oily, warm, rosy","C.Dry, brown, black, knotted, brittle, scarce","C.Irregular, scanty",B.Surplus,"A.Prolonged, formes mucous",Impatient,"Weak, hoarse","C.Anxiety, fear, uncertainity",vatta
Slim,A.Overweight,"Rounded, plump","Thin, angular","Sharp, bright, gray, green, sensitive to light",B.red inflammed yellowish,"Healthy, white, strong gums","A.Thick, oily, cool, white, pale","C.Dry, brown, black, knotted, brittle, scarce","B.Strong and unbearablerregular, scanty",B.Surplus,"C.Irregular, forms gas",Impatient,Strong tone,"B.Anger, hate, jealousy",pitta
Large,C.Low,"Rounded, plump","Rounded, double chin","Sharp, bright, gray, green, sensitive to light",B.red inflammed yellowish,"Stick out, big, roomy, thin gums","C.Thin, dry, cold, rough","B.Straight, oily, blonde, gray, red, bald",A.Slow but steady,C.Changeable,"B.Quick, causes burning",Restless,"Weak, hoarse","B.Anger, hate, jealousy",kapha
Slim,A.Overweight,Smooth flat,Tapering/triangular,"Small,sunken, dry, active, black,brown","A.Smooth, oily, cool, white, pale","Medium , soft , tender gums","A.Thick, oily, cool, white, pale","C.Dry, brown, black, knotted, brittle, scarce","B.Strong and unbearablerregular, scanty",B.Surplus,"B.Quick, causes burning",Restless,"Weak, hoarse","B.Anger, hate, jealousy",pitta
Medium,B.Medium,"Rounded, plump","Thin, angular","Sharp, bright, gray, green, sensitive to light",B.red inflammed yellowish,"Healthy, white, strong gums","C.Thin, dry, cold, rough","B.Straight, oily, blonde, gray, red, bald",A.Slow but steady,A.Sparse,"C.Irregular, forms gas",Impatient,"Deep, good tone","C.Anxiety, fear, uncertainity",pitta
Large,A.Overweight,Smooth flat,"Rounded, double chin","Small,sunken, dry, active, black,brown",B.red inflammed yellowish,"Stick out, big, roomy, thin gums","A.Thick, oily, cool, white, pale","B.Straight, oily, blonde, gray, red, bald","B.Strong and unbearablerregular, scanty",A.Sparse,"B.Quick, causes burning",Calm,Strong tone,"C.Anxiety, fear, uncertainity",kapha
Medium,A.Overweight,"Rounded, plump","Rounded, double chin","Small,sunken, dry, active, black,brown",B.red inflammed yellowish,"Stick out, big, roomy, thin gums","B.Smooth, oily, warm, rosy","C.Dry, brown, black, knotted, brittle, scarce","C.Irregular, scanty",B.Surplus,"C.Irregular, forms gas",Impatient,"Weak, hoarse","A.Calm, greedy, attachment",vatta
Medium,A.Overweight,wrinkled/sunken,"Rounded, double chin","Small,sunken, dry, active, black,brown",B.red inflammed yellowish,"Medium , soft , tender gums","A.Thick, oily, cool, white, pale","A.Thick, curly, oily, wayv, luxurient","B.Strong and unbearablerregular, scanty",B.Surplus,"C.Irregular, forms gas",Restless,"Weak, hoarse","C.Anxiety, fear, uncertainity",kapha
Medium,B.Medium,"Rounded, plump",Tapering/triangular,"Sharp, bright, gray, green, sensitive to light","A.Smooth, oily, cool, white, pale","Stick out, big, roomy, thin gums","A.Thick, oily, cool, white, pale","B.Straight, oily, blonde, gray, red, bald","B.Strong and unbearablerregular, scanty",A.Sparse,"B.Quick, causes burning",Restless,Strong tone,"B.Anger, hate, jealousy",pitta
Medium,A.Overweight,wrinkled/sunken,"Rounded, double chin","Sharp, bright, gray, green, sensitive to light",B.red inflammed yellowish,"Healthy, white, strong gums","A.Thick, oily, cool, white, pale","A.Thick, curly, oily, wayv, luxurient","B.Strong and unbearablerregular, scanty",C.Changeable,"B.Quick, causes burning",Impatient,"Deep, good tone","B.Anger, hate, jealousy",pitta
Medium,A.Overweight,Smooth flat,"Thin, angular","Sharp, bright, gray, green, sensitive to light","A.Smooth, oily, cool, white, pale","Healthy, white, strong gums","A.Thick, oily, cool, white, pale","A.Thick, curly, oily, wayv, luxurient","C.Irregular, scanty",A.Sparse,"C.Irregular, forms gas",Impatient,"Weak, hoarse","B.Anger, hate, jealousy",kapha
Medium,C.Low,wrinkled/sunken,"Thin, angular","Sharp, bright, gray, green, sensitive to light","A.Smooth, oily, cool, white, pale","Healthy, white, strong gums","C.Thin, dry, cold, rough","B.Straight, oily, blonde, gray, red, bald",A.Slow but steady,A.Sparse,"C.Irregular, forms gas",Calm,Strong tone,"B.Anger, hate, jealousy",pitta